image,subject_set,site,veg_type,location,latitude,longitude,elevation
./masked_images/jernort/2014/jernort_2014_10_15_123005_masked_SH0001.jpg,SH_masked,jernort,SH,"Jornada Experimental Range, New Mexico, USA",32.619,-106.788,1328
./masked_images/jernort/2014/jernort_2014_05_31_120003_masked_SH0001.jpg,SH_masked,jernort,SH,"Jornada Experimental Range, New Mexico, USA",32.619,-106.788,1328
./masked_images/jernort/2014/jernort_2014_10_29_120006_masked_SH0001.jpg,SH_masked,jernort,SH,"Jornada Experimental Range, New Mexico, USA",32.619,-106.788,1328
./masked_images/jernort/2014/jernort_2014_06_12_120006_masked_SH0001.jpg,SH_masked,jernort,SH,"Jornada Experimental Range, New Mexico, USA",32.619,-106.788,1328
./masked_images/kelloggcorn/2014/kelloggcorn_2014_10_15_090300_masked_AG0001.jpg,AG_masked,kelloggcorn,AG,"Kellogg Biological Station, Michigan, USA",42.437536,-85.322547,288
./masked_images/kelloggcorn/2014/kelloggcorn_2014_10_13_110300_masked_AG0001.jpg,AG_masked,kelloggcorn,AG,"Kellogg Biological Station, Michigan, USA",42.437536,-85.322547,288
./masked_images/kelloggcorn/2014/kelloggcorn_2014_06_16_110300_masked_AG0001.jpg,AG_masked,kelloggcorn,AG,"Kellogg Biological Station, Michigan, USA",42.437536,-85.322547,288
./masked_images/kelloggcorn/2014/kelloggcorn_2014_06_14_110300_masked_AG0001.jpg,AG_masked,kelloggcorn,AG,"Kellogg Biological Station, Michigan, USA",42.437536,-85.322547,288
./masked_images/kelloggcorn/2014/kelloggcorn_2014_08_10_110300_masked_AG0001.jpg,AG_masked,kelloggcorn,AG,"Kellogg Biological Station, Michigan, USA",42.437536,-85.322547,288
./masked_images/kelloggcorn/2014/kelloggcorn_2014_08_17_110300_masked_AG0001.jpg,AG_masked,kelloggcorn,AG,"Kellogg Biological Station, Michigan, USA",42.437536,-85.322547,288
./masked_images/kelloggcorn/2014/kelloggcorn_2014_12_19_110300_masked_AG0001.jpg,AG_masked,kelloggcorn,AG,"Kellogg Biological Station, Michigan, USA",42.437536,-85.322547,288
./masked_images/kelloggcorn/2014/kelloggcorn_2014_11_20_110300_masked_AG0001.jpg,AG_masked,kelloggcorn,AG,"Kellogg Biological Station, Michigan, USA",42.437536,-85.322547,288
./masked_images/kelloggcorn/2014/kelloggcorn_2014_11_12_110300_masked_AG0001.jpg,AG_masked,kelloggcorn,AG,"Kellogg Biological Station, Michigan, USA",42.437536,-85.322547,288
./masked_images/kelloggcorn/2014/kelloggcorn_2014_11_02_110300_masked_AG0001.jpg,AG_masked,kelloggcorn,AG,"Kellogg Biological Station, Michigan, USA",42.437536,-85.322547,288
./masked_images/kelloggcorn/2014/kelloggcorn_2014_09_23_110300_masked_AG0001.jpg,AG_masked,kelloggcorn,AG,"Kellogg Biological Station, Michigan, USA",42.437536,-85.322547,288
