image,subject_set,site,veg_type,location,latitude,longitude,elevation
./unmasked_images/imcrktussock/2014/imcrktussock_2014_07_21_120612_unmasked.jpg,GR_unmasked,imcrktussock,GR,"Imnavait Creek, Alaska, USA",68.60633,-149.30408,918
./unmasked_images/imcrktussock/2012/imcrktussock_2012_10_14_130609_unmasked.jpg,GR_unmasked,imcrktussock,GR,"Imnavait Creek, Alaska, USA",68.60633,-149.30408,918
./unmasked_images/imcrktussock/2013/imcrktussock_2013_11_11_120611_unmasked.jpg,GR_unmasked,imcrktussock,GR,"Imnavait Creek, Alaska, USA",68.60633,-149.30408,918
./unmasked_images/jernort/2014/jernort_2014_05_31_120003_unmasked.jpg,SH_unmasked,jernort,SH,"Jornada Experimental Range, New Mexico, USA",32.619,-106.788,1328
./unmasked_images/jernort/2014/jernort_2014_10_29_120006_unmasked.jpg,SH_unmasked,jernort,SH,"Jornada Experimental Range, New Mexico, USA",32.619,-106.788,1328
./unmasked_images/jernort/2014/jernort_2014_06_12_120006_unmasked.jpg,SH_unmasked,jernort,SH,"Jornada Experimental Range, New Mexico, USA",32.619,-106.788,1328
./unmasked_images/kelloggcorn/2014/kelloggcorn_2014_11_30_110300_unmasked.jpg,AG_unmasked,kelloggcorn,AG,"Kellogg Biological Station, Michigan, USA",42.437536,-85.322547,288
./unmasked_images/kelloggcorn/2014/kelloggcorn_2014_07_25_110300_unmasked.jpg,AG_unmasked,kelloggcorn,AG,"Kellogg Biological Station, Michigan, USA",42.437536,-85.322547,288
./unmasked_images/kelloggcorn/2014/kelloggcorn_2014_07_02_110300_unmasked.jpg,AG_unmasked,kelloggcorn,AG,"Kellogg Biological Station, Michigan, USA",42.437536,-85.322547,288
./unmasked_images/kendall/2012/kendall_2012_09_27_120131_unmasked.jpg,GR_unmasked,kendall,GR,"Kendall Grassland, Arizona, USA",31.73653,-109.94189,1291
./unmasked_images/kendall/2013/kendall_2013_11_07_113111_unmasked.jpg,GR_unmasked,kendall,GR,"Kendall Grassland, Arizona, USA",31.73653,-109.94189,1291
./unmasked_images/kendall/2014/kendall_2014_07_18_120113_unmasked.jpg,GR_unmasked,kendall,GR,"Kendall Grassland, Arizona, USA",31.73653,-109.94189,1291
./unmasked_images/konza/2013/konza_2013_03_19_120117_unmasked.jpg,GR_unmasked,konza,GR,"Konza Prairie Biological Station, Kansas, USA",39.0824,-96.5603,443
./unmasked_images/konza/2014/konza_2014_05_24_120114_unmasked.jpg,GR_unmasked,konza,GR,"Konza Prairie Biological Station, Kansas, USA",39.0824,-96.5603,443
./unmasked_images/konza/2013/konza_2013_01_20_044102_unmasked.jpg,GR_unmasked,konza,GR,"Konza Prairie Biological Station, Kansas, USA",39.0824,-96.5603,443
./unmasked_images/merbleue/2014/merbleue_2014_08_18_120104_unmasked.jpg,SH_unmasked,merbleue,SH,"Mer Bleue Conservation Area, Ottawa, Canada",45.4094,-75.5187,69
./unmasked_images/merbleue/2013/merbleue_2013_12_01_120104_unmasked.jpg,SH_unmasked,merbleue,SH,"Mer Bleue Conservation Area, Ottawa, Canada",45.4094,-75.5187,69
./unmasked_images/merbleue/2013/merbleue_2013_05_27_120103_unmasked.jpg,SH_unmasked,merbleue,SH,"Mer Bleue Conservation Area, Ottawa, Canada",45.4094,-75.5187,69
./unmasked_images/niwot2/2010/niwot2_2010_10_10_120142_unmasked.jpg,EN_unmasked,niwot2,EN,"Niwot Ridge, Colorado, USA",40.032864,-105.54697,
./unmasked_images/niwot2/2010/niwot2_2010_02_19_120140_unmasked.jpg,EN_unmasked,niwot2,EN,"Niwot Ridge, Colorado, USA",40.032864,-105.54697,
./unmasked_images/niwot2/2009/niwot2_2009_09_03_120141_unmasked.jpg,EN_unmasked,niwot2,EN,"Niwot Ridge, Colorado, USA",40.032864,-105.54697,
./slices/aguatibiaeast_2013_slice.png,shift_slices,aguatibiaeast,,,,,
./slices/bitterootvalley_2012_slice.png,shift_slices,bitterootvalley,,,,,
./slices/boundarywaters_2009_slice.png,shift_slices,boundarywaters,,,,,
